query,intent,api_call.endpoint,api_call.parkCode
Tell me about Abraham Lincoln Birthplace National Historical Park,description,parks,abli
Give me a description of Abraham Lincoln Birthplace National Historical Park,description,parks,abli
Describe Abraham Lincoln Birthplace National Historical Park to me,description,parks,abli
What is the description of Abraham Lincoln Birthplace National Historical Park?,description,parks,abli
Tell me about Acadia National Park,description,parks,acad
Give me a description of Acadia National Park,description,parks,acad
Describe Acadia National Park to me,description,parks,acad
What is the description of Acadia National Park?,description,parks,acad
Tell me about Adams National Historical Park,description,parks,adam
Give me a description of Adams National Historical Park,description,parks,adam
Describe Adams National Historical Park to me,description,parks,adam
What is the description of Adams National Historical Park?,description,parks,adam
Tell me about African American Civil War Memorial,description,parks,afam
Give me a description of African American Civil War Memorial,description,parks,afam
Describe African American Civil War Memorial to me,description,parks,afam
What is the description of African American Civil War Memorial?,description,parks,afam
Tell me about African Burial Ground National Monument,description,parks,afbg
Give me a description of African Burial Ground National Monument,description,parks,afbg
Describe African Burial Ground National Monument to me,description,parks,afbg
What is the description of African Burial Ground National Monument?,description,parks,afbg
Tell me about Agate Fossil Beds National Monument,description,parks,agfo
Give me a description of Agate Fossil Beds National Monument,description,parks,agfo
Describe Agate Fossil Beds National Monument to me,description,parks,agfo
What is the description of Agate Fossil Beds National Monument?,description,parks,agfo
Tell me about Ala Kahakai National Historic Trail,description,parks,alka
Give me a description of Ala Kahakai National Historic Trail,description,parks,alka
Describe Ala Kahakai National Historic Trail to me,description,parks,alka
What is the description of Ala Kahakai National Historic Trail?,description,parks,alka
Tell me about Alagnak Wild River,description,parks,alag
Give me a description of Alagnak Wild River,description,parks,alag
Describe Alagnak Wild River to me,description,parks,alag
What is the description of Alagnak Wild River?,description,parks,alag
Tell me about Alaska Public Lands,description,parks,anch
Give me a description of Alaska Public Lands,description,parks,anch
Describe Alaska Public Lands to me,description,parks,anch
What is the description of Alaska Public Lands?,description,parks,anch
Tell me about Alcatraz Island,description,parks,alca
Give me a description of Alcatraz Island,description,parks,alca
Describe Alcatraz Island to me,description,parks,alca
What is the description of Alcatraz Island?,description,parks,alca
Tell me about Aleutian Islands World War II National Historic Area,description,parks,aleu
Give me a description of Aleutian Islands World War II National Historic Area,description,parks,aleu
Describe Aleutian Islands World War II National Historic Area to me,description,parks,aleu
What is the description of Aleutian Islands World War II National Historic Area?,description,parks,aleu
Tell me about Alibates Flint Quarries National Monument,description,parks,alfl
Give me a description of Alibates Flint Quarries National Monument,description,parks,alfl
Describe Alibates Flint Quarries National Monument to me,description,parks,alfl
What is the description of Alibates Flint Quarries National Monument?,description,parks,alfl
Tell me about Allegheny Portage Railroad National Historic Site,description,parks,alpo
Give me a description of Allegheny Portage Railroad National Historic Site,description,parks,alpo
Describe Allegheny Portage Railroad National Historic Site to me,description,parks,alpo
What is the description of Allegheny Portage Railroad National Historic Site?,description,parks,alpo
Tell me about Amache National Historic Site,description,parks,amch
Give me a description of Amache National Historic Site,description,parks,amch
Describe Amache National Historic Site to me,description,parks,amch
What is the description of Amache National Historic Site?,description,parks,amch
Tell me about American Memorial Park,description,parks,amme
Give me a description of American Memorial Park,description,parks,amme
Describe American Memorial Park to me,description,parks,amme
What is the description of American Memorial Park?,description,parks,amme
Tell me about Amistad National Recreation Area,description,parks,amis
Give me a description of Amistad National Recreation Area,description,parks,amis
Describe Amistad National Recreation Area to me,description,parks,amis
What is the description of Amistad National Recreation Area?,description,parks,amis
Tell me about Anacostia Park,description,parks,anac
Give me a description of Anacostia Park,description,parks,anac
Describe Anacostia Park to me,description,parks,anac
What is the description of Anacostia Park?,description,parks,anac
Tell me about Andersonville National Historic Site,description,parks,ande
Give me a description of Andersonville National Historic Site,description,parks,ande
Describe Andersonville National Historic Site to me,description,parks,ande
What is the description of Andersonville National Historic Site?,description,parks,ande
Tell me about Andrew Johnson National Historic Site,description,parks,anjo
Give me a description of Andrew Johnson National Historic Site,description,parks,anjo
Describe Andrew Johnson National Historic Site to me,description,parks,anjo
What is the description of Andrew Johnson National Historic Site?,description,parks,anjo
Tell me about Aniakchak National Monument & Preserve,description,parks,ania
Give me a description of Aniakchak National Monument & Preserve,description,parks,ania
Describe Aniakchak National Monument & Preserve to me,description,parks,ania
What is the description of Aniakchak National Monument & Preserve?,description,parks,ania
Tell me about Antietam National Battlefield,description,parks,anti
Give me a description of Antietam National Battlefield,description,parks,anti
Describe Antietam National Battlefield to me,description,parks,anti
What is the description of Antietam National Battlefield?,description,parks,anti
Tell me about Apostle Islands National Lakeshore,description,parks,apis
Give me a description of Apostle Islands National Lakeshore,description,parks,apis
Describe Apostle Islands National Lakeshore to me,description,parks,apis
What is the description of Apostle Islands National Lakeshore?,description,parks,apis
Tell me about Appalachian National Scenic Trail,description,parks,appa
Give me a description of Appalachian National Scenic Trail,description,parks,appa
Describe Appalachian National Scenic Trail to me,description,parks,appa
What is the description of Appalachian National Scenic Trail?,description,parks,appa
Tell me about Appomattox Court House National Historical Park,description,parks,apco
Give me a description of Appomattox Court House National Historical Park,description,parks,apco
Describe Appomattox Court House National Historical Park to me,description,parks,apco
What is the description of Appomattox Court House National Historical Park?,description,parks,apco
Tell me about Arches National Park,description,parks,arch
Give me a description of Arches National Park,description,parks,arch
Describe Arches National Park to me,description,parks,arch
What is the description of Arches National Park?,description,parks,arch
Tell me about Arkansas Post National Memorial,description,parks,arpo
Give me a description of Arkansas Post National Memorial,description,parks,arpo
Describe Arkansas Post National Memorial to me,description,parks,arpo
What is the description of Arkansas Post National Memorial?,description,parks,arpo
"Tell me about Arlington House, The Robert E. Lee Memorial",description,parks,arho
"Give me a description of Arlington House, The Robert E. Lee Memorial",description,parks,arho
"Describe Arlington House, The Robert E. Lee Memorial to me",description,parks,arho
"What is the description of Arlington House, The Robert E. Lee Memorial?",description,parks,arho
Tell me about Assateague Island National Seashore,description,parks,asis
Give me a description of Assateague Island National Seashore,description,parks,asis
Describe Assateague Island National Seashore to me,description,parks,asis
What is the description of Assateague Island National Seashore?,description,parks,asis
Tell me about Aztec Ruins National Monument,description,parks,azru
Give me a description of Aztec Ruins National Monument,description,parks,azru
Describe Aztec Ruins National Monument to me,description,parks,azru
What is the description of Aztec Ruins National Monument?,description,parks,azru
Tell me about Badlands National Park,description,parks,badl
Give me a description of Badlands National Park,description,parks,badl
Describe Badlands National Park to me,description,parks,badl
What is the description of Badlands National Park?,description,parks,badl
Tell me about Baltimore-Washington Parkway,description,parks,bawa
Give me a description of Baltimore-Washington Parkway,description,parks,bawa
Describe Baltimore-Washington Parkway to me,description,parks,bawa
What is the description of Baltimore-Washington Parkway?,description,parks,bawa
Tell me about Bandelier National Monument,description,parks,band
Give me a description of Bandelier National Monument,description,parks,band
Describe Bandelier National Monument to me,description,parks,band
What is the description of Bandelier National Monument?,description,parks,band
Tell me about Belmont-Paul Women's Equality National Monument,description,parks,bepa
Give me a description of Belmont-Paul Women's Equality National Monument,description,parks,bepa
Describe Belmont-Paul Women's Equality National Monument to me,description,parks,bepa
What is the description of Belmont-Paul Women's Equality National Monument?,description,parks,bepa
Tell me about Bent's Old Fort National Historic Site,description,parks,beol
Give me a description of Bent's Old Fort National Historic Site,description,parks,beol
Describe Bent's Old Fort National Historic Site to me,description,parks,beol
What is the description of Bent's Old Fort National Historic Site?,description,parks,beol
Tell me about Bering Land Bridge National Preserve,description,parks,bela
Give me a description of Bering Land Bridge National Preserve,description,parks,bela
Describe Bering Land Bridge National Preserve to me,description,parks,bela
What is the description of Bering Land Bridge National Preserve?,description,parks,bela
Tell me about Big Bend National Park,description,parks,bibe
Give me a description of Big Bend National Park,description,parks,bibe
Describe Big Bend National Park to me,description,parks,bibe
What is the description of Big Bend National Park?,description,parks,bibe
Tell me about Big Cypress National Preserve,description,parks,bicy
Give me a description of Big Cypress National Preserve,description,parks,bicy
Describe Big Cypress National Preserve to me,description,parks,bicy
What is the description of Big Cypress National Preserve?,description,parks,bicy
Tell me about Big Hole National Battlefield,description,parks,biho
Give me a description of Big Hole National Battlefield,description,parks,biho
Describe Big Hole National Battlefield to me,description,parks,biho
What is the description of Big Hole National Battlefield?,description,parks,biho
Tell me about Big South Fork National River & Recreation Area,description,parks,biso
Give me a description of Big South Fork National River & Recreation Area,description,parks,biso
Describe Big South Fork National River & Recreation Area to me,description,parks,biso
What is the description of Big South Fork National River & Recreation Area?,description,parks,biso
Tell me about Big Thicket National Preserve,description,parks,bith
Give me a description of Big Thicket National Preserve,description,parks,bith
Describe Big Thicket National Preserve to me,description,parks,bith
What is the description of Big Thicket National Preserve?,description,parks,bith
Tell me about Bighorn Canyon National Recreation Area,description,parks,bica
Give me a description of Bighorn Canyon National Recreation Area,description,parks,bica
Describe Bighorn Canyon National Recreation Area to me,description,parks,bica
What is the description of Bighorn Canyon National Recreation Area?,description,parks,bica
Tell me about Birmingham Civil Rights National Monument,description,parks,bicr
