query,intent,response,api_call.endpoint,api_call.parkCode
Tell me about Fort Union Monument,ParkInfo,,parks,foun
What is the full name of Fort Union Monument?,ParkInfo,,parks,foun
What is the address of Fort Union Monument?,ParkInfo,,parks,foun
Which state is Fort Union Monument located in?,ParkInfo,,parks,foun
Give me a description of Fort Union Monument,ParkInfo,,parks,foun
Where is Fort Union Monument located?,ParkInfo,,parks,foun
Can you provide the full name of Fort Union Monument?,ParkInfo,,parks,foun
What is the location of Fort Union Monument?,ParkInfo,,parks,foun
Tell me the address of Fort Union Monument,ParkInfo,,parks,foun
In which state can I find Fort Union Monument?,ParkInfo,,parks,foun
Describe Fort Union Monument to me,ParkInfo,,parks,foun
Tell me about Chamizal,ParkInfo,,parks,cham
What is the full name of Chamizal?,ParkInfo,,parks,cham
What is the address of Chamizal?,ParkInfo,,parks,cham
Which state is Chamizal located in?,ParkInfo,,parks,cham
Give me a description of Chamizal,ParkInfo,,parks,cham
Where is Chamizal located?,ParkInfo,,parks,cham
Can you provide the full name of Chamizal?,ParkInfo,,parks,cham
What is the location of Chamizal?,ParkInfo,,parks,cham
Tell me the address of Chamizal,ParkInfo,,parks,cham
In which state can I find Chamizal?,ParkInfo,,parks,cham
Describe Chamizal to me,ParkInfo,,parks,cham
Tell me about Kalaupapa,ParkInfo,,parks,kala
What is the full name of Kalaupapa?,ParkInfo,,parks,kala
What is the address of Kalaupapa?,ParkInfo,,parks,kala
Which state is Kalaupapa located in?,ParkInfo,,parks,kala
Give me a description of Kalaupapa,ParkInfo,,parks,kala
Where is Kalaupapa located?,ParkInfo,,parks,kala
Can you provide the full name of Kalaupapa?,ParkInfo,,parks,kala
What is the location of Kalaupapa?,ParkInfo,,parks,kala
Tell me the address of Kalaupapa,ParkInfo,,parks,kala
In which state can I find Kalaupapa?,ParkInfo,,parks,kala
Describe Kalaupapa to me,ParkInfo,,parks,kala
Tell me about Manhattan Project,ParkInfo,,parks,mapr
What is the full name of Manhattan Project?,ParkInfo,,parks,mapr
What is the address of Manhattan Project?,ParkInfo,,parks,mapr
Which state is Manhattan Project located in?,ParkInfo,,parks,mapr
Give me a description of Manhattan Project,ParkInfo,,parks,mapr
Where is Manhattan Project located?,ParkInfo,,parks,mapr
Can you provide the full name of Manhattan Project?,ParkInfo,,parks,mapr
What is the location of Manhattan Project?,ParkInfo,,parks,mapr
